Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),
1/1/2000,38,42,35,0.08
1/2/2000,40,42,39,0.05
1/3/2000,38,46,36,0
1/4/2000,40,47,30,0
1/5/2000,44,52,41,0.02
1/6/2000,40,48,35,0.01
1/7/2000,41,45,38,0.01
1/8/2000,37,41,31,0
1/9/2000,41,43,40,0.05
1/10/2000,38,39,38,0.23
1/11/2000,38,39,37,0
1/12/2000,37,40,36,0
1/13/2000,34,40,32,0
1/14/2000,32,41,24,0
1/15/2000,33,39,30,0
1/16/2000,31,38,25,0
1/17/2000,35,42,27,0
1/18/2000,41,43,33,0
1/19/2000,37,41,35,0.02
1/20/2000,35,39,31,0
1/21/2000,37,40,34,0
1/22/2000,38,39,36,0
1/23/2000,36,39,,0.04
1/24/2000,30,,26,0.04
1/25/2000,23,30,17,0
1/26/2000,22,33,14,0
1/27/2000,22,35,12,0
1/28/2000,29,41,17,0
1/29/2000,39,48,31,0
1/30/2000,48,52,40,0.15
1/31/2000,47,51,46,0.01
2/1/2000,41,48,35,0
2/2/2000,44,48,34,0.02
2/3/2000,40,46,34,0.11
2/4/2000,38,48,29,0
2/5/2000,37,51,29,0
2/6/2000,41,55,30,0
2/7/2000,46,53,43,0.01
2/8/2000,49,53,45,0.09
2/9/2000,42,49,37,0.3
2/10/2000,38,48,25,0
2/11/2000,39,45,35,0.24
2/12/2000,37,46,28,0
2/13/2000,42,46,37,0.09
2/14/2000,45,48,41,0.01
2/15/2000,47,51,44,0.03
2/16/2000,41,44,35,0.16
2/17/2000,36,42,33,0.21
2/18/2000,40,48,32,0.27
2/19/2000,43,49,41,0.36
2/20/2000,36,42,33,0.09
2/21/2000,33,44,25,0
2/22/2000,35,46,26,0
2/23/2000,38,52,29,0
2/24/2000,40,47,28,0
2/25/2000,48,52,45,0
2/26/2000,44,48,38,0.09
2/27/2000,44,55,38,0.01
2/28/2000,51,62,39,0
2/29/2000,46,48,44,0.1
3/1/2000,43,49,39,0.35
3/2/2000,40,47,33,0.17
3/3/2000,44,47,37,0
3/4/2000,40,45,38,0.32
3/5/2000,35,44,26,0
3/6/2000,37,52,27,0
3/7/2000,39,58,26,0
3/8/2000,46,62,29,0
3/9/2000,53,66,38,0
3/10/2000,50,54,46,0
3/11/2000,47,63,34,0
3/12/2000,47,56,38,0
3/13/2000,48,60,35,0
3/14/2000,51,58,40,0
3/15/2000,43,49,40,0.06
3/16/2000,44,53,34,0
3/17/2000,48,54,44,0
3/18/2000,46,49,43,0
3/19/2000,44,54,37,0
3/20/2000,44,55,37,0
3/21/2000,44,58,33,0
3/22/2000,46,63,29,0
3/23/2000,47,57,36,0
3/24/2000,48,54,41,0.09
3/25/2000,50,61,42,0
3/26/2000,44,51,41,0.24
3/27/2000,40,47,32,0.09
3/28/2000,40,48,32,0.02
3/29/2000,38,40,35,0.05
3/30/2000,41,47,36,0.26
3/31/2000,44,58,28,0
4/1/2000,42,51,35,0.1
4/2/2000,46,62,31,0.13
4/3/2000,50,62,44,0.02
4/4/2000,48,55,38,0.13
4/5/2000,44,44,42,0.35
4/6/2000,42,47,39,0.09
4/7/2000,45,60,31,0
4/8/2000,48,63,34,0
4/9/2000,45,54,33,0
4/10/2000,50,61,41,0.03
4/11/2000,51,58,45,0.13
4/12/2000,45,54,38,0.09
4/13/2000,48,57,38,0.07
4/14/2000,55,66,44,0
4/15/2000,50,59,43,0.02
4/16/2000,45,50,35,0
4/17/2000,49,56,44,1.09
4/18/2000,49,60,37,0.01
4/19/2000,48,55,43,0
4/20/2000,52,67,34,0
4/21/2000,56,64,46,0
4/22/2000,62,76,44,0.01
4/23/2000,52,55,50,0.02
4/24/2000,50,58,44,0.28
4/25/2000,54,68,38,0
4/26/2000,60,73,48,0
4/27/2000,58,67,47,0
4/28/2000,53,56,53,0.05
4/29/2000,52,59,47,0.24
4/30/2000,57,72,41,0
5/1/2000,63,75,51,0
5/2/2000,61,71,54,0
5/3/2000,62,72,51,0
5/4/2000,64,76,51,0
5/5/2000,63,74,50,0.01
5/6/2000,63,73,51,0
5/7/2000,64,76,54,0
5/8/2000,64,75,57,0.15
5/9/2000,65,78,52,0
5/10/2000,63,76,56,0.19
5/11/2000,64,74,54,0.44
5/12/2000,62,72,55,0.09
5/13/2000,64,75,51,0.12
5/14/2000,66,76,56,0.06
5/15/2000,67,79,54,0
5/16/2000,69,81,56,0.01
5/17/2000,58,63,56,0.01
5/18/2000,53,61,49,0.42
5/19/2000,50,56,42,0.06
